"symbol","DES_logFC","DES_pvalue","CDES_logFC","CDES_pvalue","ASC_logFC","ASC_pvalue","CASC_logFC","CASC_pvalue"
"Unc13a",0.445288628194485,0.007,0.392936440888607,0.0128,0.329002421406952,0.0176,0.349302015302,0.0146
"Car12",1.59098037354491,0.017,1.25273734188409,0.0338,1.21778680909386,0.005,1.00787656293308,0.0334
"Lpl",0.673022025917731,0.0234,0.62580354774572,0.0336,1.0652662430017,2e-04,0.54683489702482,0.0378
"Tesc",0.523310292585339,0.0284,0.759159004975733,0.0024,0.837321658199513,0.006,0.633873577081469,0.037
"Pitpnm2",0.46473706767814,0.0334,0.442754194181403,0.0374,0.632128677794198,0.007,0.457967946063868,0.0476
"Rai2",-0.759141130133436,0.002,-0.529958075060731,0.026,-0.788460948063081,2e-04,-0.455765126245834,0.0248
"Kif21a",-0.261741492262981,0.0024,-0.261812292716169,0.003,-0.219341649098089,0.0452,-0.255520841316867,0.029
"Nap1l5",-0.433965648635906,0.0144,-0.435925639726072,0.018,-0.390622099817765,0.0298,-0.378393170109021,0.048
